tab delimited	contribution																																		
id	version	timestamp	contributor	data_model_version	reference	description																													
17114	2	2021-04-22T00:16:27.735Z	@najmagic	3	10.1130/L580.1	"Added geologic_classes, lithologies, and ages to the locations table. Fix other ages problems. Fix other data formatting issues.  Added other required columns. "																													
>>>>>>>>>>																																			
tab delimited	locations																																		
location	location_type	citations	geologic_classes	lithologies	lat_s	lat_n	lon_w	lon_e	age_low	age_high	age_unit																								
SLB18.3a	SLB18.3	SLB18.3a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	573	853	K	-1	262.5	51.4	11	mag	2	0.6	0.4	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB18.3a	SLB18.3	SLB18.3a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	868	953	K	0	284.1	40.2	8	hem	2	0.5	0.2	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB18.3a	SLB18.3	SLB18.3a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	573	853	K	0	284.8	40.6	11	mag	2	0.6	0.4	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB18.3a	SLB18.3	SLB18.3a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	868	953	K	100	273.9	54.6	8	hem	2	0.5	0.2	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB18.3a	SLB18.3	SLB18.3a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	573	853	K	100	274.6	55.1	11	mag	2	0.6	0.4	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB18.4a	SLB18.4	SLB18.4a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	868	953	K	-1	29.3	62.1	8	hem	2	0.4	0.5	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB18.4a	SLB18.4	SLB18.4a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	573	853	K	-1	29.5	62.1	11	mag	2	1.8	0.3	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB18.4a	SLB18.4	SLB18.4a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	868	953	K	0	294.1	37.1	8	hem	2	0.4	0.5	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB18.4a	SLB18.4	SLB18.4a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	573	853	K	0	294.2	37	11	mag	2	1.8	0.3	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB18.4a	SLB18.4	SLB18.4a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	868	953	K	100	287.9	53	8	hem	2	0.4	0.5	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB18.4a	SLB18.4	SLB18.4a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	573	853	K	100	288.1	52.9	11	mag	2	1.8	0.3	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB18.5a	SLB18.5	SLB18.5a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	473	853	K	-1	193.1	-19.8	12	mag	2	2.4	1.2	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB18.5a	SLB18.5	SLB18.5a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	868	953	K	-1	196	-20.2	8	hem	2	1	0.2	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB18.5a	SLB18.5	SLB18.5a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	473	853	K	0	281	36.7	12	mag	2	2.4	1.2	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB18.5a	SLB18.5	SLB18.5a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	868	953	K	0	284.2	35.6	8	hem	2	1	0.2	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB18.5a	SLB18.5	SLB18.5a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	473	853	K	100	271.4	50.5	12	mag	2	2.4	1.2	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB18.5a	SLB18.5	SLB18.5a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	868	953	K	100	275.8	50.1	8	hem	2	1	0.2	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB18.6a	SLB18.6	SLB18.6a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	868	953	K	-1	195.1	-16.9	8	hem	2	1	0.4	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB18.6a	SLB18.6	SLB18.6a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	573	853	K	-1	193.4	-16.9	11	mag	2	1.9	1.2	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB18.6a	SLB18.6	SLB18.6a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	868	953	K	0	293.1	33.3	8	hem	2	1	0.4	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB18.6a	SLB18.6	SLB18.6a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	573	853	K	0	291.3	33.6	11	mag	2	1.9	1.2	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB18.6a	SLB18.6	SLB18.6a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	868	953	K	100	287.6	49.2	8	hem	2	1	0.4	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB18.6a	SLB18.6	SLB18.6a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	573	853	K	100	285.2	49.2	11	mag	2	1.9	1.2	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB18.7a	SLB18.7	SLB18.7a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	573	853	K	-1	192.2	22.4	11	mag	2	1.2	0.9	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB18.7a	SLB18.7	SLB18.7a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	868	953	K	-1	191.1	22.4	8	hem	2	0.7	0.3	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB18.7a	SLB18.7	SLB18.7a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	573	853	K	0	273.3	37	11	mag	2	1.2	0.9	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB18.7a	SLB18.7	SLB18.7a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	868	953	K	0	272.1	37.1	8	hem	2	0.7	0.3	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB18.7a	SLB18.7	SLB18.7a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	573	853	K	100	262.1	49.3	11	mag	2	1.2	0.9	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB18.7a	SLB18.7	SLB18.7a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	868	953	K	100	260.7	49.1	8	hem	2	0.7	0.3	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB18.8a	SLB18.8	SLB18.8a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	868	953	K	-1	301.6	47.2	8	hem	2	0.7	0.4	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB18.8a	SLB18.8	SLB18.8a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	573	853	K	-1	301.5	47.4	11	mag	2	1.5	0.4	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB18.8a	SLB18.8	SLB18.8a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	868	953	K	0	287.3	34.6	8	hem	2	0.7	0.4	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB18.8a	SLB18.8	SLB18.8a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	573	853	K	0	287.3	34.8	11	mag	2	1.5	0.4	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB18.8a	SLB18.8	SLB18.8a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	868	953	K	100	280	49.7	8	hem	2	0.7	0.4	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB18.8a	SLB18.8	SLB18.8a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	573	853	K	100	279.9	49.9	11	mag	2	1.5	0.4	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB18.9a	SLB18.9	SLB18.9a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	573	853	K	-1	285.4	48	11	mag	2	2.2	0.4	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB18.9a	SLB18.9	SLB18.9a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	868	953	K	-1	284.8	47.2	8	hem	2	0.6	0.3	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB18.9a	SLB18.9	SLB18.9a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	573	853	K	0	289.5	36.7	11	mag	2	2.2	0.4	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB18.9a	SLB18.9	SLB18.9a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	868	953	K	0	288.5	36.3	8	hem	2	0.6	0.3	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB18.9a	SLB18.9	SLB18.9a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	573	853	K	100	282.1	52	11	mag	2	2.2	0.4	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB18.9a	SLB18.9	SLB18.9a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	868	953	K	100	281	51.4	8	hem	2	0.6	0.3	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB19.1a	SLB19.1	SLB19.1a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	868	953	K	-1	158	-6.4	8	hem	2	1.5	1.8	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB19.1a	SLB19.1	SLB19.1a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	473	853	K	-1	159.3	-5.8	12	mag	2	3	0.3	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB19.1a	SLB19.1	SLB19.1a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	868	953	K	0	288.5	30.5	8	hem	2	1.5	1.8	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB19.1a	SLB19.1	SLB19.1a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	473	853	K	0	289.6	31.4	12	mag	2	3	0.3	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB19.1a	SLB19.1	SLB19.1a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	868	953	K	100	282.5	45.7	8	hem	2	1.5	1.8	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB19.1a	SLB19.1	SLB19.1a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	473	853	K	100	283.7	46.8	12	mag	2	3	0.3	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB19.2a	SLB19.2	SLB19.2a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	473	853	K	-1	105.8	36.5	12	mag	2	1.8	0.2	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB19.2a	SLB19.2	SLB19.2a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	868	953	K	-1	107.4	36.1	8	hem	2	1.3	0.3	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB19.2a	SLB19.2	SLB19.2a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	473	853	K	0	294.5	38.8	12	mag	2	1.8	0.2	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB19.2a	SLB19.2	SLB19.2a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	868	953	K	0	296.1	38.7	8	hem	2	1.3	0.3	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB19.2a	SLB19.2	SLB19.2a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	473	853	K	100	288	54.7	12	mag	2	1.8	0.2	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB19.2a	SLB19.2	SLB19.2a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	868	953	K	100	290.3	54.8	8	hem	2	1.3	0.3	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB19.3a	SLB19.3	SLB19.3a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	573	853	K	-1	151.8	23	11	mag	2	2.1	0.8	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB19.3a	SLB19.3	SLB19.3a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	868	953	K	-1	154	22	8	hem	2	1.8	0.4	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB19.3a	SLB19.3	SLB19.3a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	573	853	K	0	287.3	31.7	11	mag	2	2.1	0.8	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB19.3a	SLB19.3	SLB19.3a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	868	953	K	0	289.7	30.9	8	hem	2	1.8	0.4	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB19.3a	SLB19.3	SLB19.3a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	573	853	K	100	280.7	46.8	11	mag	2	2.1	0.8	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB19.3a	SLB19.3	SLB19.3a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	868	953	K	100	283.9	46.4	8	hem	2	1.8	0.4	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB19.4a	SLB19.4	SLB19.4a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	473	853	K	-1	154.9	0.6	12	mag	2	2	0.4	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB19.4a	SLB19.4	SLB19.4a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	868	953	K	-1	157	0	8	hem	2	1.5	0.1	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB19.4a	SLB19.4	SLB19.4a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	473	853	K	0	279.7	32.7	12	mag	2	2	0.4	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB19.4a	SLB19.4	SLB19.4a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	868	953	K	0	282.4	32.8	8	hem	2	1.5	0.1	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB19.4a	SLB19.4	SLB19.4a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	473	853	K	100	271.3	46.5	12	mag	2	2	0.4	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB19.4a	SLB19.4	SLB19.4a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	868	953	K	100	274.4	47	8	hem	2	1.5	0.1	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB19.5a	SLB19.5	SLB19.5a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	473	853	K	-1	182.6	-18.3	12	mag	2	3.3	0.9	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB19.5a	SLB19.5	SLB19.5a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	868	953	K	-1	184.3	-19	8	hem	2	1.6	1	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB19.5a	SLB19.5	SLB19.5a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	473	853	K	0	293.9	33.6	12	mag	2	3.3	0.9	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB19.5a	SLB19.5	SLB19.5a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	868	953	K	0	295.8	32.9	8	hem	2	1.6	1	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB19.5a	SLB19.5	SLB19.5a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	473	853	K	100	288.5	49.6	12	mag	2	3.3	0.9	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB19.5a	SLB19.5	SLB19.5a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	868	953	K	100	291.1	49	8	hem	2	1.6	1	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB19.6a	SLB19.6	SLB19.6a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	868	953	K	-1	154.3	-19.3	8	hem	2	1.5	1.2	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB19.6a	SLB19.6	SLB19.6a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	573	853	K	-1	155.3	-18.4	11	mag	2	3.3	1.7	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB19.6a	SLB19.6	SLB19.6a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	868	953	K	0	284.1	28.7	8	hem	2	1.5	1.2	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB19.6a	SLB19.6	SLB19.6a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	573	853	K	0	284.8	29.9	11	mag	2	3.3	1.7	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB19.6a	SLB19.6	SLB19.6a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	868	953	K	100	277.7	43.3	8	hem	2	1.5	1.2	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB19.6a	SLB19.6	SLB19.6a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	573	853	K	100	278.2	44.6	11	mag	2	3.3	1.7	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB19.7a	SLB19.7	SLB19.7a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	573	853	K	-1	333.2	56.5	11	mag	2	1.4	0.1	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB19.7a	SLB19.7	SLB19.7a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	868	953	K	-1	333.2	56.4	8	hem	2	0.6	0.3	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB19.7a	SLB19.7	SLB19.7a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	573	853	K	0	295.1	36.1	11	mag	2	1.4	0.1	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB19.7a	SLB19.7	SLB19.7a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	868	953	K	0	295.1	36	8	hem	2	0.6	0.3	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB19.7a	SLB19.7	SLB19.7a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	573	853	K	100	289.4	52.1	11	mag	2	1.4	0.1	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB19.7a	SLB19.7	SLB19.7a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	868	953	K	100	289.5	52	8	hem	2	0.6	0.3	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB19.8a	SLB19.8	SLB19.8a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	573	853	K	-1	249.6	27.4	11	mag	2	3.8	0.5	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB19.8a	SLB19.8	SLB19.8a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	868	953	K	-1	251	27.6	8	hem	2	0.9	0.4	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB19.8a	SLB19.8	SLB19.8a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	573	853	K	0	295.1	33.7	11	mag	2	3.8	0.5	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB19.8a	SLB19.8	SLB19.8a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	868	953	K	0	296.4	33.1	8	hem	2	0.9	0.4	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB19.8a	SLB19.8	SLB19.8a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	573	853	K	100	290	49.8	11	mag	2	3.8	0.5	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB19.8a	SLB19.8	SLB19.8a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	868	953	K	100	291.8	49.3	8	hem	2	0.9	0.4	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB19.9a	SLB19.9	SLB19.9a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	868	953	K	-1	35.9	55.8	8	hem	2	0.9	0.5	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB19.9a	SLB19.9	SLB19.9a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	473	853	K	-1	36.5	55.3	12	mag	2	0.9	0	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB19.9a	SLB19.9	SLB19.9a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	868	953	K	0	284.9	32	8	hem	2	0.9	0.5	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB19.9a	SLB19.9	SLB19.9a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	473	853	K	0	285.4	31.7	12	mag	2	0.9	0	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB19.9a	SLB19.9	SLB19.9a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	868	953	K	100	277.7	46.7	8	hem	2	0.9	0.5	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB19.9a	SLB19.9	SLB19.9a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	473	853	K	100	278.5	46.5	12	mag	2	0.9	0	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB20.1a	SLB20.1	SLB20.1a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	473	853	K	-1	189.7	17.5	12	mag	2	3.4	2.1	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB20.1a	SLB20.1	SLB20.1a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	868	953	K	-1	186.6	16.7	8	hem	2	2.1	0.6	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB20.1a	SLB20.1	SLB20.1a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	473	853	K	0	305.2	34.2	12	mag	2	3.4	2.1	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB20.1a	SLB20.1	SLB20.1a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	868	953	K	0	301.6	33.6	8	hem	2	2.1	0.6	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB20.1a	SLB20.1	SLB20.1a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	473	853	K	100	303	51	12	mag	2	3.4	2.1	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB20.1a	SLB20.1	SLB20.1a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	868	953	K	100	298.4	50.2	8	hem	2	2.1	0.6	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB20.2a	SLB20.2	SLB20.2a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	473	853	K	-1	328.2	58.2	12	mag	2	2.7	0.8	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB20.2a	SLB20.2	SLB20.2a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	868	953	K	-1	326.4	58.2	8	hem	2	0.7	0.8	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB20.2a	SLB20.2	SLB20.2a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	473	853	K	0	296.8	36.5	12	mag	2	2.7	0.8	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB20.2a	SLB20.2	SLB20.2a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	868	953	K	0	295.7	36.7	8	hem	2	0.7	0.8	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB20.2a	SLB20.2	SLB20.2a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	473	853	K	100	291.7	52.7	12	mag	2	2.7	0.8	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB20.2a	SLB20.2	SLB20.2a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	868	953	K	100	290.1	52.8	8	hem	2	0.7	0.8	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB20.3a	SLB20.3	SLB20.3a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	868	953	K	-1	152.3	20.5	8	hem	2	1.1	1.4	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB20.3a	SLB20.3	SLB20.3a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR	This study	473	853	K	-1	154.6	20.3	12	mag	2	2.9	1.3	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB20.3a	SLB20.3	SLB20.3a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	868	953	K	0	299.5	37.7	8	hem	2	1.1	1.4	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB20.3a	SLB20.3	SLB20.3a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	This study	473	853	K	0	302.2	38	12	mag	2	2.9	1.3	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB20.3a	SLB20.3	SLB20.3a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	868	953	K	100	295	54.2	8	hem	2	1.1	1.4	u	pmagpy-3.4.1: demag_gui.v.3.0																	
SLB20.3a	SLB20.3	SLB20.3a_LP-DIR-T	g	LP-DIR-T:DE-BFL:DA-DIR-TILT	This study	473	853	K	100	298.6	54.7	12	mag	2	2.9	1.3	u	pmagpy-3.4.1: demag_gui.v.3.0																	
